height,weight,gender
170.6,82.9,M
164.9,72.2,M
180.6,94.2,M
176.7,87.2,M
171.1,81.3,M
177.7,87.7,M
172.8,84.4,M
180.3,96.5,M
188.2,98.5,M
177,85.3,M
167.9,74.2,M
192.6,104.8,M
182.1,91.1,M
175.2,83.1,M
160.4,70.2,M
178.1,83.5,M
176.9,83,M
177.2,89.7,M
172.8,84.1,M
174.4,82.3,M
178.3,84.2,M
160,71.8,M
175.5,83.2,M
181.4,89.7,M
171.3,88.5,M
168.2,74.2,M
180.8,90.9,M
187.5,99.3,M
172.7,77.2,M
172.6,77.4,M
162.7,63.3,F
156.5,51,F
146.2,43.6,F
169.1,73.8,F
170.9,68.5,F
154.5,61.7,F
171.2,72,F
159.4,60.5,F
161.1,55.4,F
152.9,59.6,F
161.4,59.8,F
171.3,75.7,F
179.6,73.2,F
155.7,52.2,F
166.5,61.1,F
153.3,50.4,F
170.8,71.9,F
162.1,61.2,F
167.6,70.5,F
164.5,70.8,F
162,65.2,F
157,55.7,F
177.4,57.9,F
162.9,65.9,F
171.6,72.9,F
167.9,59.5,F
158,54.4,F
157.3,46.5,F
156.6,52.5,F
172.5,68.4,F
